Model,Node Memory Capacity (MB),# of Nodes,# of Bandwidth Classes,Bottleneck Latency (s)
InceptionResNetV2,512,5,8,0
InceptionResNetV2,512,5,11,0
InceptionResNetV2,512,5,14,0
InceptionResNetV2,512,5,17,0
InceptionResNetV2,512,5,20,0
InceptionResNetV2,64,10,2,2.356629583
InceptionResNetV2,64,10,5,2.244176774
InceptionResNetV2,64,10,8,2.308074819
InceptionResNetV2,64,10,11,2.274447523
InceptionResNetV2,64,10,14,2.134175027
InceptionResNetV2,64,10,17,2.216955142
InceptionResNetV2,64,10,20,2.287888355
InceptionResNetV2,128,10,2,1.994335068
InceptionResNetV2,128,10,5,1.985383952
InceptionResNetV2,128,10,8,1.917480717
InceptionResNetV2,128,10,11,2.040393409
InceptionResNetV2,128,10,14,1.937512
InceptionResNetV2,128,10,17,1.853062663
InceptionResNetV2,128,10,20,1.955860903
InceptionResNetV2,256,10,2,1.369698832
InceptionResNetV2,256,10,5,1.152309418
InceptionResNetV2,256,10,8,1.142232763
InceptionResNetV2,256,10,11,1.192974402
InceptionResNetV2,256,10,14,1.152207621
InceptionResNetV2,256,10,17,1.177404616
InceptionResNetV2,256,10,20,1.176584086
InceptionResNetV2,512,10,2,0
InceptionResNetV2,512,10,5,0
InceptionResNetV2,512,10,8,0
InceptionResNetV2,512,10,11,0
InceptionResNetV2,512,10,14,0
InceptionResNetV2,512,10,17,0
InceptionResNetV2,512,10,20,0
InceptionResNetV2,64,15,2,2.037898481
InceptionResNetV2,64,15,5,1.944549853
InceptionResNetV2,64,15,8,1.965290179
InceptionResNetV2,64,15,11,1.979826537
InceptionResNetV2,64,15,14,1.888001241
InceptionResNetV2,64,15,17,2.012289354
InceptionResNetV2,64,15,20,1.923986385
InceptionResNetV2,128,15,2,1.748515898
InceptionResNetV2,128,15,5,1.780867085
InceptionResNetV2,128,15,8,1.720465757
InceptionResNetV2,128,15,11,1.780001587
InceptionResNetV2,128,15,14,1.690704502
InceptionResNetV2,128,15,17,1.671609042
InceptionResNetV2,128,15,20,1.693040541
InceptionResNetV2,256,15,2,1.242109832
InceptionResNetV2,256,15,5,1.057768581
InceptionResNetV2,256,15,8,1.02699168
InceptionResNetV2,256,15,11,1.040890147
InceptionResNetV2,256,15,14,1.042308175
InceptionResNetV2,256,15,17,1.082999574
InceptionResNetV2,256,15,20,1.058085633
InceptionResNetV2,512,15,2,0
InceptionResNetV2,512,15,5,0
InceptionResNetV2,512,15,8,0
InceptionResNetV2,512,15,11,0
InceptionResNetV2,512,15,14,0
InceptionResNetV2,512,15,17,0
InceptionResNetV2,512,15,20,0
InceptionResNetV2,64,20,2,1.856532023
InceptionResNetV2,64,20,5,1.815972858
InceptionResNetV2,64,20,8,1.83391487
InceptionResNetV2,64,20,11,1.803581378
InceptionResNetV2,64,20,14,1.765030845
InceptionResNetV2,64,20,17,1.876732989
InceptionResNetV2,64,20,20,1.83236069
InceptionResNetV2,128,20,2,1.687552152
InceptionResNetV2,128,20,5,1.675359001
InceptionResNetV2,128,20,8,1.568366524
InceptionResNetV2,128,20,11,1.660180273
InceptionResNetV2,128,20,14,1.612341423
InceptionResNetV2,128,20,17,1.625489651
InceptionResNetV2,128,20,20,1.588835311
InceptionResNetV2,256,20,2,1.14026021
InceptionResNetV2,256,20,5,0.9868997775
InceptionResNetV2,256,20,8,0.9322771656
InceptionResNetV2,256,20,11,1.013722537
InceptionResNetV2,256,20,14,0.9770140781
InceptionResNetV2,256,20,17,0.9612439357
InceptionResNetV2,256,20,20,0.9825213133
InceptionResNetV2,512,20,2,0
InceptionResNetV2,512,20,5,0
InceptionResNetV2,512,20,8,0
InceptionResNetV2,512,20,11,0
InceptionResNetV2,512,20,14,0
InceptionResNetV2,512,20,17,0
InceptionResNetV2,512,20,20,0
InceptionResNetV2,64,50,2,1.524299987
InceptionResNetV2,64,50,5,1.489649192
InceptionResNetV2,64,50,8,1.507167692
InceptionResNetV2,64,50,11,1.49412649
InceptionResNetV2,64,50,14,1.406087835
InceptionResNetV2,64,50,17,1.513733832
InceptionResNetV2,64,50,20,1.519346647
InceptionResNetV2,128,50,2,1.380604038
InceptionResNetV2,128,50,5,1.334338918
InceptionResNetV2,128,50,8,1.363312739
InceptionResNetV2,128,50,11,1.352360308
InceptionResNetV2,128,50,14,1.351417033
InceptionResNetV2,128,50,17,1.32527316
InceptionResNetV2,128,50,20,1.335341112
InceptionResNetV2,256,50,2,0.97337695
InceptionResNetV2,256,50,5,0.8002414605
InceptionResNetV2,256,50,8,0.8479956471
InceptionResNetV2,256,50,11,0.8087312408
InceptionResNetV2,256,50,14,0.8501498221
InceptionResNetV2,256,50,17,0.8395865871
InceptionResNetV2,256,50,20,0.8198288071
InceptionResNetV2,512,50,2,0
InceptionResNetV2,512,50,5,0
InceptionResNetV2,512,50,8,0
InceptionResNetV2,512,50,11,0
InceptionResNetV2,512,50,14,0
InceptionResNetV2,512,50,17,0
InceptionResNetV2,512,50,20,0
MobileNetV2,64,5,2,0.05735773419
MobileNetV2,64,5,5,0.05832752564
MobileNetV2,64,5,8,0.05807186212
MobileNetV2,64,5,11,0.06147512718
MobileNetV2,64,5,14,0.0594779999
MobileNetV2,64,5,17,0.05993760182
MobileNetV2,64,5,20,0.0577431988
MobileNetV2,64,10,2,0.04695771285
MobileNetV2,64,10,5,0.04747314802
MobileNetV2,64,10,8,0.04585886848
MobileNetV2,64,10,11,0.04631413739
MobileNetV2,64,10,14,0.04515800693
MobileNetV2,64,10,17,0.04530156042
MobileNetV2,64,10,20,0.04781455221
MobileNetV2,64,15,2,0.04180348273
MobileNetV2,64,15,5,0.0427518197
MobileNetV2,64,15,8,0.04275821862
MobileNetV2,64,15,11,0.04191023798
MobileNetV2,64,15,14,0.04282125375
MobileNetV2,64,15,17,0.04134681096
MobileNetV2,64,15,20,0.04229538319
MobileNetV2,64,20,2,0.03905164959
MobileNetV2,64,20,5,0.03866363732
MobileNetV2,64,20,8,0.03987161178
MobileNetV2,64,20,11,0.04015124488
MobileNetV2,64,20,14,0.03943603872
MobileNetV2,64,20,17,0.03907469626
MobileNetV2,64,20,20,0.03924908419
MobileNetV2,64,50,2,0.03201169013
